DateResult: Day,IdQueue,NameMailSender,Count
2025-09-02T00:00:00+03:00,1,production100-mail-sender-108,3084
2025-09-02T00:00:00+03:00,1,production100-mail-sender-106,3080
2025-09-02T00:00:00+03:00,1,production100-mail-sender-105,3071
2025-09-02T00:00:00+03:00,1,production100-mail-sender-102,3066
2025-09-02T00:00:00+03:00,1,production100-mail-sender-1,3061
2025-09-02T00:00:00+03:00,1,production100-mail-sender-103,3059
2025-09-02T00:00:00+03:00,488,production-mail-sender-aws-2,2936
2025-09-02T00:00:00+03:00,1,production200-mail-sender-200,2841
2025-09-02T00:00:00+03:00,370,production100-mail-sender-104,2050
2025-09-02T00:00:00+03:00,107,production-mail-sender-70,1643
2025-09-02T00:00:00+03:00,107,production-mail-sender-3,1586
2025-09-02T00:00:00+03:00,107,production-mail-sender-4,1574
2025-09-02T00:00:00+03:00,107,production100-mail-sender-106,1513
2025-09-02T00:00:00+03:00,107,production100-mail-sender-108,1506
2025-09-02T00:00:00+03:00,107,production100-mail-sender-117,1499
2025-09-02T00:00:00+03:00,107,production100-mail-sender-118,1499
2025-09-02T00:00:00+03:00,107,production100-mail-sender-115,1495
2025-09-02T00:00:00+03:00,107,production100-mail-sender-114,1491
2025-09-02T00:00:00+03:00,107,production100-mail-sender-116,1491
2025-09-02T00:00:00+03:00,107,production100-mail-sender-110,1463
2025-09-02T00:00:00+03:00,6,production-mail-sender-aws,1447
2025-09-02T00:00:00+03:00,258,production100-mail-sender-104,1383
2025-09-02T00:00:00+03:00,258,production200-mail-sender-200,1181
2025-09-02T00:00:00+03:00,257,production100-mail-sender-104,1134
2025-09-02T00:00:00+03:00,8,production-mail-sender-4,1078
2025-09-02T00:00:00+03:00,8,production-mail-sender-5,1077
2025-09-02T00:00:00+03:00,8,production-mail-sender-1,1069
2025-09-02T00:00:00+03:00,8,production100-mail-sender-102,1014
2025-09-02T00:00:00+03:00,8,production100-mail-sender-103,1014
2025-09-02T00:00:00+03:00,8,production100-mail-sender-101,1013
2025-09-02T00:00:00+03:00,8,production100-mail-sender-1,1009
2025-09-02T00:00:00+03:00,8,production100-mail-sender-113,999
2025-09-02T00:00:00+03:00,8,production100-mail-sender-112,998
2025-09-02T00:00:00+03:00,104,production100-mail-sender-105,997
2025-09-02T00:00:00+03:00,104,production100-mail-sender-1,991
2025-09-02T00:00:00+03:00,8,production100-mail-sender-111,989
2025-09-02T00:00:00+03:00,8,production200-mail-sender-200,988
2025-09-02T00:00:00+03:00,104,production100-mail-sender-101,987
2025-09-02T00:00:00+03:00,104,production100-mail-sender-102,987
2025-09-02T00:00:00+03:00,104,production100-mail-sender-103,979
2025-09-02T00:00:00+03:00,104,production-mail-sender-2,977
2025-09-02T00:00:00+03:00,104,production-mail-sender-5,977
2025-09-02T00:00:00+03:00,104,production-mail-sender-3,975
2025-09-02T00:00:00+03:00,104,production-mail-sender-4,966
2025-09-02T00:00:00+03:00,104,production-mail-sender-1,960
2025-09-02T00:00:00+03:00,257,production200-mail-sender-200,942
2025-09-02T00:00:00+03:00,105,production100-mail-sender-103,801
2025-09-02T00:00:00+03:00,105,production100-mail-sender-109,800
2025-09-02T00:00:00+03:00,105,production100-mail-sender-102,799
2025-09-02T00:00:00+03:00,105,production-mail-sender-2,795
2025-09-02T00:00:00+03:00,105,production100-mail-sender-1,794
2025-09-02T00:00:00+03:00,105,production100-mail-sender-101,793
2025-09-02T00:00:00+03:00,105,production-mail-sender-5,789
2025-09-02T00:00:00+03:00,105,production100-mail-sender-108,786
2025-09-02T00:00:00+03:00,105,production-mail-sender-1,785
2025-09-02T00:00:00+03:00,105,production100-mail-sender-111,783
2025-09-02T00:00:00+03:00,105,production-mail-sender-3,780
2025-09-02T00:00:00+03:00,105,production-mail-sender-4,777
2025-09-02T00:00:00+03:00,105,production100-mail-sender-110,768
2025-09-02T00:00:00+03:00,447,production100-mail-sender-118,742
2025-09-02T00:00:00+03:00,447,production100-mail-sender-115,741
2025-09-02T00:00:00+03:00,447,production100-mail-sender-108,739
2025-09-02T00:00:00+03:00,447,production100-mail-sender-116,736
2025-09-02T00:00:00+03:00,447,production100-mail-sender-110,732
2025-09-02T00:00:00+03:00,447,production100-mail-sender-117,731
2025-09-02T00:00:00+03:00,447,production100-mail-sender-114,727
2025-09-02T00:00:00+03:00,447,production-mail-sender-70,727
2025-09-02T00:00:00+03:00,447,production-mail-sender-aws-21,694
2025-09-02T00:00:00+03:00,2215,production100-mail-sender-115,661
2025-09-02T00:00:00+03:00,526,production-mail-sender-aws,600
2025-09-02T00:00:00+03:00,260,production-mail-sender-2,557
2025-09-02T00:00:00+03:00,260,production-mail-sender-1,551
2025-09-02T00:00:00+03:00,260,production100-mail-sender-102,521
2025-09-02T00:00:00+03:00,260,production100-mail-sender-1,520
2025-09-02T00:00:00+03:00,260,production200-mail-sender-200,495
2025-09-02T00:00:00+03:00,259,production100-mail-sender-104,418
2025-09-02T00:00:00+03:00,5,production-mail-sender-aws,392
2025-09-02T00:00:00+03:00,5,production-mail-sender-aws-2,389
2025-09-02T00:00:00+03:00,5,production-mail-sender-aws-21,389
2025-09-02T00:00:00+03:00,5,production-mail-sender-aws-3,389
2025-09-02T00:00:00+03:00,259,production200-mail-sender-200,385
2025-09-02T00:00:00+03:00,5,production100-mail-sender-112,331
2025-09-02T00:00:00+03:00,490,production-mail-sender-3,331
2025-09-02T00:00:00+03:00,5,production100-mail-sender-1,330
2025-09-02T00:00:00+03:00,490,production-mail-sender-2,326
2025-09-02T00:00:00+03:00,490,production-mail-sender-1,324
2025-09-02T00:00:00+03:00,490,production-mail-sender-4,322
2025-09-02T00:00:00+03:00,490,production-mail-sender-5,322
2025-09-02T00:00:00+03:00,5,production100-mail-sender-111,321
2025-09-02T00:00:00+03:00,5,production100-mail-sender-113,321
2025-09-02T00:00:00+03:00,490,production100-mail-sender-111,274
2025-09-02T00:00:00+03:00,487,production-mail-sender-aws-2,271
2025-09-02T00:00:00+03:00,490,production100-mail-sender-106,221
2025-09-02T00:00:00+03:00,490,production100-mail-sender-101,220
2025-09-02T00:00:00+03:00,490,production100-mail-sender-1,217
2025-09-02T00:00:00+03:00,490,production100-mail-sender-103,217
2025-09-02T00:00:00+03:00,490,production100-mail-sender-102,215
2025-09-02T00:00:00+03:00,490,production200-mail-sender-200,204
2025-09-02T00:00:00+03:00,106,production100-mail-sender-102,156
2025-09-02T00:00:00+03:00,106,production-mail-sender-5,156
2025-09-02T00:00:00+03:00,106,production100-mail-sender-101,154
2025-09-02T00:00:00+03:00,106,production-mail-sender-2,154
